Loan_ID,Acc_ID,Dist_ID,LoanDate,Amount,Duration,Payments,Status,Purpose
L00006227,A00006030,1,5/26/1994,28248,24,1177,A,debt_consolidation
L00006865,A00009199,1,5/26/1994,29448,12,2454,B,debt_consolidation
L00006676,A00008159,1,5/26/1994,29784,24,1241,A,debt_consolidation
L00005620,A00003161,18,5/31/1994,30012,12,2501,C,home_improvement
L00005311,A00001766,64,6/1/1994,30060,60,501,C,debt_consolidation
L00006501,A00007418,1,6/3/1994,30276,12,2523,B,home_improvement
L00004961,A00000019,1,6/4/1994,30276,12,2523,B,debt_consolidation
L00006502,A00007424,1,6/4/1994,30276,12,2523,A,debt_consolidation
L00004962,A00000025,1,6/5/1994,30276,12,2523,A,debt_consolidation
L00007200,A00010799,1,6/6/1994,31140,60,519,C,debt_consolidation
L00006185,A00005774,1,6/7/1994,31176,24,1299,A,debt_consolidation
L00005576,A00002962,18,6/12/1994,31248,12,2604,A,debt_consolidation
L00007110,A00010345,1,6/14/1994,31260,12,2605,C,home_improvement
L00006970,A00009677,1,6/17/1994,31620,60,527,C,debt_consolidation
L00006546,A00007607,1,6/23/1994,31728,24,1322,A,home_improvement
L00006130,A00005541,1,6/25/1994,32640,48,680,C,debt_consolidation
L00006758,A00008742,1,6/29/1994,33144,12,2762,A,debt_consolidation
L00005932,A00004626,1,7/5/1994,33348,12,2779,A,debt_consolidation
L00006764,A00008776,1,7/5/1994,33984,48,708,C,debt_consolidation
L00006310,A00006440,1,7/8/1994,34572,12,2881,A,debt_consolidation
L00006643,A00008038,1,7/11/1994,35856,24,1494,C,debt_consolidation
L00005207,A00001244,64,7/11/1994,35904,48,748,C,home_improvement
L00007008,A00009897,1,7/16/1994,36168,12,3014,A,debt_consolidation
L00006682,A00008225,1,7/19/1994,36204,12,3017,D,home_improvement
L00006929,A00009472,1,7/23/1994,36396,12,3033,A,debt_consolidation
L00006306,A00006425,1,7/24/1994,36684,12,3057,A,debt_consolidation
L00007096,A00010257,1,7/28/1994,37812,12,3151,C,home_improvement
L00006362,A00006738,1,7/30/1994,37908,12,3159,A,debt_consolidation
L00005332,A00001869,64,7/30/1994,37944,36,1054,C,home_improvement
L00006820,A00009034,1,8/3/1994,38148,12,3179,A,debt_consolidation
L00006321,A00006505,1,8/4/1994,38496,12,3208,C,home_improvement
L00005358,A00002018,59,8/5/1994,38520,12,3210,A,debt_consolidation
L00005634,A00003229,59,8/7/1994,39024,12,3252,A,home_improvement
L00007294,A00011327,1,8/10/1994,39168,24,1632,C,debt_consolidation
L00006888,A00009265,1,8/11/1994,39576,12,3298,A,home_improvement
L00006887,A00009263,1,8/23/1994,39576,12,3298,A,debt_consolidation
L00005665,A00003390,1,8/25/1994,40632,12,3386,C,home_improvement
L00005582,A00002982,18,8/27/1994,41256,12,3438,C,debt_consolidation
L00005808,A00004099,1,8/27/1994,41856,48,872,C,debt_consolidation
L00006895,A00009307,1,9/2/1994,41904,12,3492,A,debt_consolidation
L00006535,A00007546,1,9/10/1994,41952,12,3496,A,home_improvement
L00005841,A00004268,1,9/11/1994,41988,12,3499,C,debt_consolidation
L00006553,A00007636,1,9/19/1994,42384,12,3532,C,home_improvement
L00005046,A00000349,70,9/26/1994,42816,12,3568,C,debt_consolidation
L00006727,A00008505,1,9/28/1994,42840,12,3570,A,debt_consolidation
L00006621,A00007957,1,9/28/1994,42900,12,3575,A,debt_consolidation
L00006315,A00006472,1,9/29/1994,43164,12,3597,A,debt_consolidation
L00005313,A00001776,64,9/30/1994,43200,24,1800,C,debt_consolidation
L00005693,A00003489,1,9/30/1994,44088,24,1837,A,debt_consolidation
L00007087,A00010215,1,10/2/1994,44304,24,1846,C,home_improvement
L00006144,A00005593,1,10/3/1994,44376,12,3698,A,debt_consolidation
L00006137,A00005574,1,10/12/1994,44628,12,3719,A,home_improvement
L00006923,A00009433,1,10/25/1994,44640,24,1860,C,debt_consolidation
L00005368,A00002073,59,10/28/1994,44640,24,1860,C,debt_consolidation
L00007264,A00011141,1,10/30/1994,44940,12,3745,A,debt_consolidation
L00005343,A00001906,64,11/2/1994,44952,24,1873,C,debt_consolidation
L00006805,A00008972,1,11/3/1994,45024,48,938,C,debt_consolidation
L00005237,A00001375,64,11/3/1994,45336,24,1889,A,debt_consolidation
L00006569,A00007721,1,11/4/1994,45456,12,3788,C,home_improvement
L00007172,A00010652,1,11/6/1994,45720,12,3810,C,debt_consolidation
L00007198,A00010788,1,11/6/1994,45768,12,3814,A,home_improvement
L00007199,A00010789,1,11/12/1994,45768,12,3814,A,home
L00006944,A00009548,1,11/19/1994,46176,48,962,C,home
L00005445,A00002322,59,12/4/1994,46320,24,1930,A,home
L00006456,A00007123,1,12/8/1994,47016,12,3918,A,home
L00006745,A00008625,1,12/11/1994,47304,24,1971,A,home_improvement
L00007242,A00011027,1,12/19/1994,48096,24,2004,C,debt_consolidation
L00005446,A00002334,59,12/20/1994,48312,24,2013,C,home_improvement
L00005131,A00000816,64,12/20/1994,48624,24,2026,A,home
L00006460,A00007133,1,12/21/1994,48672,36,1352,A,debt_consolidation
L00005586,A00002994,18,12/21/1994,48744,36,1354,C,debt_consolidation
L00006495,A00007274,1,12/21/1994,49044,12,4087,C,home_improvement
L00006650,A00008073,1,1/2/1995,49320,12,4110,B,debt_consolidation
L00006399,A00006902,1,1/3/1995,49320,36,1370,C,home_improvement
L00005452,A00002352,59,1/3/1995,49440,60,824,C,home
L00006464,A00007156,1,1/8/1995,49488,24,2062,C,home
L00006470,A00007181,1,1/8/1995,49872,12,4156,C,home
L00006819,A00009031,1,1/11/1995,50112,24,2088,C,home
L00005549,A00002824,25,1/14/1995,50460,60,841,C,home_improvement
L00005172,A00001083,64,1/16/1995,50976,36,1416,C,debt_consolidation
L00005856,A00004320,1,1/18/1995,51360,12,4280,B,home_improvement
L00005861,A00004337,1,1/30/1995,51408,24,2142,A,home
L00006577,A00007753,1,2/2/1995,51696,24,2154,A,debt_consolidation
L00006903,A00009337,1,2/5/1995,52128,24,2172,A,debt_consolidation
L00006855,A00009153,1,2/6/1995,52236,36,1451,C,home_improvement
L00005221,A00001284,64,2/8/1995,52512,12,4376,C,debt_consolidation
L00007284,A00011265,1,2/11/1995,52788,12,4399,A,home_improvement
L00005134,A00000825,64,2/12/1995,53076,12,4423,A,home
L00006037,A00005118,1,2/17/1995,53232,48,1109,C,home
L00005398,A00002187,59,2/23/1995,53472,12,4456,A,home
L00007305,A00011359,1,3/4/1995,54024,12,4502,A,home
L00007136,A00010436,1,3/4/1995,54396,36,1511,C,home_improvement
L00006509,A00007445,1,3/11/1995,55368,24,2307,A,debt_consolidation
L00005346,A00001928,64,3/15/1995,55632,24,2318,C,home_improvement
L00006659,A00008092,1,3/16/1995,56100,60,935,C,home
L00006044,A00005133,1,3/16/1995,57060,12,4755,C,home
L00007219,A00010905,1,3/19/1995,57120,48,1190,C,home
L00005338,A00001888,64,3/21/1995,57360,12,4780,B,home
L00006054,A00005180,1,3/27/1995,58764,12,4897,C,home
L00005977,A00004803,1,3/29/1995,59136,48,1232,C,home
L00006959,A00009633,1,4/1/1995,59448,24,2477,D,home
L00006956,A00009631,1,4/2/1995,59448,24,2477,C,home
L00006253,A00006148,1,4/5/1995,59760,24,2490,A,home
L00007138,A00010440,1,4/10/1995,60000,60,1000,C,home
L00006342,A00006609,1,4/11/1995,60156,36,1671,B,home
L00006223,A00005991,1,4/13/1995,61056,48,1272,A,home
L00005909,A00004550,1,4/15/1995,61320,60,1022,C,home
L00005388,A00002153,59,4/25/1995,61560,12,5130,A,home
L00006027,A00005066,1,4/28/1995,61656,24,2569,B,home
L00005750,A00003804,1,5/1/1995,63252,12,5271,A,home
L00006512,A00007454,1,5/8/1995,63312,48,1319,A,home
L00006474,A00007190,1,5/24/1995,63360,60,1056,C,home_improvement
L00005782,A00003953,1,5/29/1995,63576,12,5298,C,debt_consolidation
L00006437,A00007052,1,5/30/1995,63972,36,1777,D,home_improvement
L00005287,A00001638,64,5/30/1995,64224,24,2676,C,home
L00005923,A00004585,1,6/1/1995,64656,48,1347,C,debt_consolidation
L00006357,A00006706,1,6/6/1995,64860,60,1081,C,debt_consolidation
L00006202,A00005891,1,6/13/1995,65184,12,5432,A,home_improvement
L00005531,A00002753,29,6/13/1995,66432,24,2768,C,debt_consolidation
L00005892,A00004462,1,6/23/1995,66480,24,2770,B,home_improvement
L00005931,A00004618,1,6/24/1995,66696,24,2779,D,home
L00005930,A00004616,1,7/3/1995,66696,24,2779,C,home
L00005039,A00000314,70,7/9/1995,66840,24,2785,C,home
L00007286,A00011271,1,7/10/1995,67320,36,1870,C,home
L00005682,A00003455,1,7/25/1995,67464,12,5622,A,home
L00007201,A00010807,1,8/1/1995,67464,12,5622,A,home
L00006249,A00006138,1,8/5/1995,67608,24,2817,C,home
L00006753,A00008688,1,8/11/1995,67980,12,5665,A,home
L00006598,A00007857,1,8/18/1995,68112,12,5676,A,home
L00005638,A00003249,59,8/26/1995,68124,12,5677,A,home
L00006095,A00005358,1,8/29/1995,68340,60,1139,C,home
L00005352,A00001993,59,9/3/1995,68400,12,5700,B,home
L00005741,A00003754,1,9/9/1995,68544,24,2856,A,home
L00005681,A00003448,1,9/16/1995,68664,24,2861,C,home
L00007194,A00010762,1,9/22/1995,68832,36,1912,C,home
L00007249,A00011065,1,10/2/1995,69360,48,1445,A,home
L00006857,A00009159,1,10/8/1995,69600,48,1450,C,home
L00005526,A00002725,1,10/14/1995,69624,36,1934,C,home
L00006817,A00009024,1,10/20/1995,70656,48,1472,C,home
L00005212,A00001256,64,10/28/1995,71064,36,1974,A,home
L00006624,A00007965,1,10/29/1995,71460,12,5955,A,home
L00005385,A00002143,59,10/31/1995,71460,36,1985,C,home
L00005669,A00003403,1,10/31/1995,71820,36,1995,C,home
L00006824,A00009052,1,11/2/1995,71976,24,2999,D,home
L00006599,A00007859,1,11/4/1995,72120,12,6010,A,home
L00006303,A00006400,1,11/12/1995,72408,24,3017,B,home
L00005420,A00002247,59,11/18/1995,72504,24,3021,C,home
L00005125,A00000789,64,11/22/1995,73056,48,1522,C,home
L00006490,A00007262,1,11/22/1995,73260,60,1221,C,home
L00005880,A00004423,1,11/23/1995,73836,36,2051,A,home
L00005878,A00004415,1,11/28/1995,74040,12,6170,A,home
L00006461,A00007136,1,11/28/1995,74124,36,2059,C,home
L00006766,A00008784,1,12/4/1995,74352,24,3098,C,home
L00006729,A00008519,1,12/5/1995,74688,12,6224,A,home
L00006668,A00008129,1,12/11/1995,74736,36,2076,A,home
L00005214,A00001270,64,12/12/1995,74772,36,2077,C,home
L00005760,A00003862,1,12/12/1995,74916,36,2081,C,home
L00007097,A00010266,1,12/12/1995,75624,24,3151,B,home
L00005992,A00004863,1,12/16/1995,76080,12,6340,A,home
L00006790,A00008919,1,12/18/1995,76104,24,3171,C,home
L00005739,A00003747,1,12/25/1995,76380,12,6365,A,home
L00006960,A00009640,1,12/31/1995,76416,24,3184,A,home
L00006737,A00008564,1,1/1/1996,76680,24,3195,A,home
L00006316,A00006473,1,1/1/1996,76908,12,6409,B,home
L00005117,A00000718,64,1/3/1996,76944,12,6412,A,home
L00006322,A00006510,1,1/11/1996,76992,24,3208,C,home
L00005635,A00003230,59,1/12/1996,77184,36,2144,C,home
L00006574,A00007745,1,1/19/1996,77544,36,2154,C,home_improvement
L00006642,A00008027,1,2/3/1996,77640,12,6470,A,debt_consolidation
L00007051,A00010068,1,2/8/1996,77808,12,6484,A,home_improvement
L00005389,A00002165,59,2/10/1996,78600,24,3275,C,home
L00006113,A00005445,1,2/12/1996,78696,36,2186,C,debt_consolidation
L00006215,A00005944,1,2/13/1996,78720,48,1640,C,debt_consolidation
L00005285,A00001603,64,2/20/1996,78936,12,6578,A,home_improvement
L00006605,A00007890,1,2/21/1996,79344,48,1653,C,debt_consolidation
L00006077,A00005270,1,2/24/1996,79608,24,3317,A,home_improvement
L00005836,A00004259,1,2/29/1996,79632,24,3318,A,home
L00006059,A00005196,1,3/4/1996,79824,12,6652,A,home
L00006294,A00006353,1,3/10/1996,79920,60,1332,C,home
L00006678,A00008173,1,3/13/1996,80340,12,6695,A,home
L00004959,A00000002,1,3/21/1996,80952,24,3373,A,home
L00006499,A00007401,1,3/26/1996,80952,24,3373,A,home
L00005906,A00004533,1,4/10/1996,81144,36,2254,C,home
L00006868,A00009208,1,4/11/1996,82128,24,3422,C,home
L00005595,A00003050,18,4/15/1996,82896,12,6908,A,home
L00006150,A00005622,1,4/18/1996,83016,12,6918,A,home
L00006875,A00009235,1,4/21/1996,83280,48,1735,C,home
L00006922,A00009424,1,4/25/1996,83628,36,2323,C,home
L00005367,A00002064,59,4/29/1996,83628,36,2323,C,home
L00006613,A00007926,1,4/29/1996,84120,24,3505,A,home
L00005790,A00004033,1,4/29/1996,84288,48,1756,C,home
L00005061,A00000440,70,5/2/1996,84288,48,1756,C,home
L00005784,A00003967,1,5/6/1996,84600,36,2350,D,home
L00006283,A00006289,1,5/6/1996,85632,48,1784,C,home
L00006751,A00008680,1,5/14/1996,85716,36,2381,C,home
L00006726,A00008492,1,5/18/1996,85860,60,1431,C,home
L00006921,A00009422,1,5/24/1996,86184,12,7182,A,home
L00005893,A00004467,1,5/29/1996,86184,36,2394,C,home
L00005366,A00002062,59,5/30/1996,86184,12,7182,A,home
L00006876,A00009236,1,6/3/1996,86616,12,7218,A,home
L00007119,A00010361,1,6/6/1996,86880,12,7240,A,home
L00006210,A00005927,1,6/8/1996,87216,48,1817,B,home
L00005138,A00000854,64,6/13/1996,87216,48,1817,C,home
L00006279,A00006273,1,6/15/1996,87360,24,3640,A,home
L00006278,A00006265,1,6/29/1996,87360,24,3640,C,home
L00005933,A00004631,1,7/6/1996,87528,24,3647,C,home
L00005882,A00004427,1,7/11/1996,87816,12,7318,A,home
L00006687,A00008261,1,7/14/1996,87840,24,3660,A,home
L00006969,A00009673,1,7/15/1996,88200,36,2450,C,home
L00006763,A00008772,1,7/18/1996,88272,48,1839,C,home
L00004996,A00000132,1,7/18/1996,88440,12,7370,A,home
L00005585,A00002988,18,7/23/1996,88608,12,7384,C,home
L00007115,A00010351,1,7/25/1996,88704,48,1848,C,home
L00006696,A00008321,1,7/25/1996,89040,60,1484,C,home
L00007277,A00011231,1,7/27/1996,89280,12,7440,A,home
L00007013,A00009928,1,7/28/1996,89340,60,1489,C,home
L00005495,A00002580,46,7/31/1996,89340,60,1489,C,home
L00007263,A00011138,1,8/2/1996,89880,24,3745,A,home
L00005868,A00004361,1,8/2/1996,90156,12,7513,A,home
L00006088,A00005317,1,8/3/1996,90180,36,2505,C,home
L00005088,A00000544,64,8/4/1996,91152,24,3798,A,home
L00006520,A00007485,1,8/6/1996,91200,24,3800,A,home
L00005036,A00000309,70,8/6/1996,91248,48,1901,C,home
L00006596,A00007844,1,8/9/1996,91584,24,3816,A,home
L00005519,A00002694,1,8/11/1996,91632,12,7636,A,home
L00007046,A00010049,1,8/20/1996,91632,12,7636,A,home
L00005377,A00002116,59,8/22/1996,92400,12,7700,A,home
L00005413,A00002227,59,8/22/1996,92976,24,3874,A,home
L00006730,A00008523,1,8/24/1996,93036,12,7753,C,home
L00006644,A00008039,1,8/25/1996,93600,24,3900,A,home
L00005523,A00002705,1,8/28/1996,93888,36,2608,A,home
L00005525,A00002720,1,9/9/1996,93888,36,2608,C,home
L00005895,A00004473,1,9/11/1996,93960,60,1566,C,home
L00006562,A00007674,1,9/14/1996,94488,24,3937,C,home
L00005643,A00003273,59,9/16/1996,94512,12,7876,B,home
L00006356,A00006701,1,9/17/1996,95400,36,2650,A,home
L00005464,A00002419,59,9/19/1996,95808,12,7984,A,home
L00006995,A00009814,1,9/19/1996,96168,12,8014,A,home
L00005314,A00001787,64,9/22/1996,96396,12,8033,B,home
L00006421,A00006985,1,9/25/1996,96768,36,2688,C,home
L00005774,A00003916,1,9/25/1996,96984,36,2694,C,home
L00005953,A00004715,1,9/26/1996,97176,24,4049,C,home
L00005877,A00004414,1,9/26/1996,97224,24,4051,A,home
L00006612,A00007907,1,9/28/1996,97392,12,8116,A,home
L00006998,A00009833,1,10/2/1996,97632,12,8136,A,home
L00006677,A00008169,1,10/3/1996,97980,60,1633,C,home
L00005161,A00001012,64,10/4/1996,98184,24,4091,A,home
L00007253,A00011079,1,10/4/1996,98304,12,8192,A,home
L00006157,A00005650,1,10/10/1996,98592,24,4108,A,home
L00005999,A00004907,1,10/16/1996,98832,48,2059,C,home
L00006168,A00005698,1,10/20/1996,99216,36,2756,C,home
L00006665,A00008114,1,10/23/1996,99300,60,1655,C,home
L00005449,A00002343,59,10/24/1996,99336,24,4139,A,home
L00005208,A00001247,64,10/29/1996,99696,48,2077,D,home
L00006469,A00007180,1,10/29/1996,99744,24,4156,C,home
L00006913,A00009377,1,10/29/1996,99936,24,4164,C,home
L00005253,A00001447,64,10/31/1996,100080,48,2085,C,home
L00005862,A00004342,1,11/3/1996,100128,24,4172,C,home
L00006816,A00009017,1,11/6/1996,100224,48,2088,D,home
L00006346,A00006649,1,11/9/1996,100260,60,1671,C,home
L00005817,A00004127,1,11/11/1996,100800,24,4200,D,home
L00005044,A00000344,70,11/12/1996,100980,60,1683,C,home
L00005375,A00002106,59,11/15/1996,101520,12,8460,A,home
L00005110,A00000675,64,11/15/1996,102240,60,1704,C,home
L00004986,A00000097,1,11/15/1996,102876,12,8573,A,home
L00006169,A00005700,1,11/18/1996,103680,60,1728,D,home
L00006950,A00009591,1,11/19/1996,104712,24,4363,A,home
L00006949,A00009583,1,11/22/1996,104712,24,4363,A,home
L00005002,A00000173,1,11/25/1996,104808,12,8734,A,home
L00006320,A00006495,1,11/28/1996,104964,12,8747,C,home
L00005325,A00001843,64,11/28/1996,105804,36,2939,A,home
L00005799,A00004052,1,12/4/1996,106128,36,2948,C,home
L00005940,A00004660,1,12/5/1996,106944,24,4456,C,home
L00005779,A00003942,1,12/11/1996,107352,36,2982,C,home
L00005959,A00004727,1,12/12/1996,107640,24,4485,A,home
L00007259,A00011111,1,12/15/1996,108144,36,3004,A,home
L00005154,A00000993,64,12/21/1996,108720,60,1812,C,home
L00005015,A00000226,1,12/25/1996,109344,12,9112,C,home
L00006015,A00005001,1,12/27/1996,110112,24,4588,A,home
L00006309,A00006434,1,1/3/1997,110136,24,4589,A,home
L00006508,A00007437,1,1/4/1997,110736,48,2307,C,home
L00004968,A00000038,1,1/8/1997,110736,48,2307,C,home
L00005533,A00002762,29,1/21/1997,111384,24,4641,A,home
L00005034,A00000303,70,1/21/1997,112752,36,3132,C,home
L00007091,A00010243,1,1/24/1997,113436,36,3151,C,home
L00007213,A00010884,1,1/24/1997,113544,36,3154,C,home
L00006985,A00009731,1,1/29/1997,113796,36,3161,A,home
L00007233,A00010963,1,1/30/1997,115812,36,3217,C,home
L00007192,A00010738,1,1/31/1997,115992,36,3222,A,home
L00006984,A00009730,1,2/2/1997,116040,60,1934,C,home
L00006353,A00006686,1,2/2/1997,116496,24,4854,C,home
L00006934,A00009494,1,2/5/1997,116832,12,9736,A,home
L00005997,A00004894,1,2/8/1997,117024,24,4876,A,home
L00006076,A00005269,1,2/9/1997,117420,60,1957,C,home
L00007250,A00011069,1,2/9/1997,119136,48,2482,C,home
L00006919,A00009403,1,2/9/1997,120888,36,3358,A,home
L00007061,A00010105,1,2/10/1997,121896,24,5079,A,home
L00006866,A00009201,1,2/12/1997,122472,24,5103,C,home
L00005610,A00003112,18,2/20/1997,123216,48,2567,C,home
L00005260,A00001480,64,2/24/1997,123300,36,3425,C,home
L00007130,A00010411,1,2/25/1997,123408,24,5142,A,home
L00006190,A00005794,1,2/26/1997,123600,60,2060,C,home
L00005032,A00000290,70,2/28/1997,123696,48,2577,A,home
L00006386,A00006856,1,3/4/1997,124344,36,3454,C,home
L00006785,A00008899,1,3/4/1997,125340,60,2089,C,home
L00005245,A00001407,64,3/6/1997,125472,24,5228,C,home
L00005241,A00001389,64,3/7/1997,125472,24,5228,C,home
L00006996,A00009828,1,3/7/1997,126600,24,5275,A,home
L00006863,A00009188,1,3/7/1997,127080,60,2118,A,home
L00006355,A00006699,1,3/10/1997,127200,48,2650,C,home
L00006641,A00008026,1,3/13/1997,128268,36,3563,C,home
L00005206,A00001242,64,3/14/1997,128544,24,5356,C,home
L00006013,A00004995,1,3/15/1997,128988,36,3583,D,home
L00006075,A00005267,1,3/17/1997,129312,24,5388,D,home
L00007308,A00011362,1,3/17/1997,129408,24,5392,A,home
L00006544,A00007594,1,3/17/1997,130464,48,2718,C,home
L00005616,A00003143,18,3/18/1997,130896,24,5454,C,home
L00007220,A00010911,1,3/20/1997,131292,36,3647,A,home
L00007151,A00010493,1,3/20/1997,133800,24,5575,C,home
L00005773,A00003907,1,3/21/1997,133848,24,5577,C,home
L00006992,A00009790,1,3/28/1997,133968,48,2791,C,home
L00006694,A00008316,1,3/29/1997,134784,24,5616,A,home
L00005900,A00004503,1,3/29/1997,135360,48,2820,C,home
L00005501,A00002622,46,4/1/1997,136344,24,5681,C,home
L00007067,A00010134,1,4/1/1997,136368,24,5682,C,home
L00006358,A00006715,1,4/1/1997,137880,60,2298,D,home
L00005805,A00004081,1,4/2/1997,137904,24,5746,B,home
L00005415,A00002236,59,4/10/1997,139464,36,3874,D,home
L00006402,A00006922,1,4/13/1997,139488,24,5812,C,home
L00006965,A00009656,1,4/22/1997,139536,24,5814,A,home
L00006571,A00007733,1,4/26/1997,140064,24,5836,C,home
L00006645,A00008041,1,4/28/1997,140400,36,3900,A,home
L00007202,A00010812,1,4/28/1997,140688,48,2931,C,home
L00005683,A00003460,1,4/29/1997,140688,48,2931,C,home
L00006136,A00005572,1,4/30/1997,140880,60,2348,C,home
L00006216,A00005952,1,5/1/1997,141240,24,5885,A,home
L00005988,A00004851,1,5/2/1997,141648,24,5902,A,home
L00005301,A00001698,64,5/3/1997,141948,36,3943,C,home
L00005320,A00001819,64,5/3/1997,143676,36,3991,C,home
L00006004,A00004937,1,5/3/1997,143904,24,5996,A,home
L00006632,A00007990,1,5/4/1997,144960,48,3020,C,home
L00005656,A00003353,59,5/4/1997,146064,24,6086,C,home
L00005210,A00001252,64,5/6/1997,148140,36,4115,C,home
L00007246,A00011054,1,5/8/1997,148920,60,2482,C,home
L00005189,A00001166,64,5/9/1997,149040,48,3105,A,home
L00006103,A00005385,1,5/11/1997,149340,60,2489,C,home
L00006010,A00004969,1,5/18/1997,150180,60,2503,C,home
L00006313,A00006461,1,5/19/1997,150912,36,4192,C,home
L00005815,A00004116,1,5/22/1997,151200,36,4200,C,home
L00007137,A00010439,1,5/22/1997,151560,24,6315,A,home
L00006986,A00009750,1,5/28/1997,151728,48,3161,D,home
L00006486,A00007240,1,6/2/1997,152160,60,2536,C,home
L00007221,A00010915,1,6/3/1997,152460,60,2541,C,home
L00006607,A00007894,1,6/3/1997,153144,36,4254,C,home
L00006541,A00007565,1,6/4/1997,153504,48,3198,C,home
L00005765,A00003875,1,6/8/1997,153936,24,6414,C,home
L00007235,A00010973,1,6/9/1997,154416,48,3217,A,home
L00007189,A00010728,1,6/10/1997,154656,48,3222,C,home
L00006818,A00009030,1,6/10/1997,155616,48,3242,C,home
L00005591,A00003021,18,6/13/1997,155616,48,3242,C,home
L00006471,A00007184,1,6/13/1997,155640,24,6485,A,home
L00007279,A00011244,1,6/14/1997,155760,24,6490,C,home
L00006667,A00008127,1,6/15/1997,155880,24,6495,A,home
L00005124,A00000785,64,6/16/1997,156096,36,4336,C,home
L00005527,A00002728,1,6/17/1997,156420,60,2607,C,home
L00005453,A00002361,59,6/17/1997,156672,36,4352,A,home
L00006948,A00009560,1,6/18/1997,157068,36,4363,C,home
L00006104,A00005395,1,6/19/1997,158184,36,4394,C,home
L00005713,A00003629,1,6/19/1997,158760,60,2646,C,home
L00005804,A00004079,1,6/19/1997,158976,48,3312,C,home
L00005451,A00002350,59,6/24/1997,159744,48,3328,C,home
L00006633,A00007997,1,6/30/1997,160656,24,6694,C,home
L00005027,A00000276,1,7/1/1997,160920,36,4470,C,home
L00005706,A00003608,1,7/9/1997,161496,36,4486,C,home
L00005337,A00001886,64,7/10/1997,162468,36,4513,C,home
L00004990,A00000110,1,7/11/1997,162576,36,4516,C,home
L00005942,A00004681,1,7/16/1997,162624,48,3388,C,home
L00006856,A00009156,1,7/16/1997,163332,36,4537,C,home
L00005269,A00001527,64,7/21/1997,164052,36,4557,B,home
L00005850,A00004293,1,7/25/1997,164196,36,4561,C,home
L00006871,A00009225,1,7/28/1997,164256,48,3422,C,home
